business_name,address,city,category,rating,review_text,review_length,review_words
Swad Of India,"SWAD OF INDIA, NO 103/77 SRINIVASA REDDY BUILDING  NEAR INFOSYS GATE NO 06 KONAPPANA  AGRAHARA ELECTRONIC CITY , Konappana  Agrahara , Bangalore South, Bangalore  Urban, Karnataka-560100","Electronic City,Bangalore",restaurant,2.0,Not great — food lacked taste and portions were small.,54,10
Home Cooked,"HOME COOKED, NO. 966, 12TH MAIN, INDIRANAGAR, HAL 2ND STAGE, , District - B.B.M.P East, STATE - Karnataka","Indiranagar,Bangalore",restaurant,4.0,Nice place with tasty food. Slight issues with timing.,54,9
Pomo'S Pizza,"Pomo'S Pizza, 106, Copper Leaf, Nr. Utsav Elegance, Bhuyangdev Cross Road, Sola Ahmedabad , Ghatlodiya(New West Zone) , Ahmedabad Municipal Corporation, Ahmedabad, Gujarat-380063","Ghatlodia,Ahmedabad",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Mani'S Dum Biryani,"Mani's Dum Biryani, 418, 5A Cross, 2nd Stage, near Girias, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043","Kammanahalli/Kalyan Nagar,Bangalore",restaurant,4.2,Good experience overall. Worth a repeat visit.,46,7
Hotel Maharaja,"Hotel Maharaja, No45, 41, Hanumanthanagar, Srigandhakavalu, Sunkadakatte, Bengaluru, Karnataka 560091, India","Basaveshwaranagar,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Raghavendra Tiffin Hsr,"Raghavendra Tiffin HSR, 150, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102, India","HSR,Bangalore",restaurant,4.4,Tasty dishes and pleasant ambience. Minor delays though.,56,8
24/7 Juice N Snacks Hub,"24/7 JUICE N SNACKS HUB, 2, Ground Floor, 71-72, Elite Building, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore - 560095","Koramangala,Bangalore",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
One Bowl,"One Bowl, GF-24, ADVAIT COMPLEX, NR. SANDESH PRESS, VASTRAPUR, Ahmedabad Municipal Corporation, Gujarat-380015","Vastrapur,Ahmedabad",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Srinidhi Veg Food Court,"Srinidhi Veg Food Court, #310,7TH MAIN ROAD,HRBR LAYOUT 1ST BLOCK,KALYANA NAGAR,BANGALORE-560043","Kammanahalli/Kalyan Nagar,Bangalore",restaurant,4.3,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Hasanambha Iyengar Cake Mane,"Hasanambha Iyengar cake mane, 50/1, Sarvobhogam Nagar, Arekere, Bengaluru, Karnataka 560076","Arekere,Bangalore",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Tks Iyengars,"TKS Iyengars, NO, 274 8TH MAIN BASAVESHWAR NAGAR BANGALORE 560079 , District - B.B.M.P West, STATE - Karnataka","Basaveshwaranagar,Bangalore",restaurant,4.3,Very good food and good service. Would recommend.,49,8
Maharaj Samosa & Namkin,"Maharaj Samosa & Namkin, SHOP NO 8 SHAYONA SHIKHAR OPPOSITE GOPI UDHYOG NEAR VANDEMATRAM ICON, near dmart ready, Gota, Ahmedabad, Gujarat 382481, India","GOTA,Ahmedabad",restaurant,3.0,"Food was okay, average experience.",34,5
Meera Foods,"MEERA FOODS, 47/11By the wy foodcourt , velankani road doddatogur Electronic City, Bengaluru, Karnataka 560100, India","Electronic City,Bangalore",restaurant,3.0,"Food was okay, average experience.",34,5
Chai,"Chai, Semi Basement 131 8 DEVATHA PLAZA Opp Bishop Cotton School Residency Road Bangalore 560025","Central Bangalore,Bangalore",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Crazy Bao,"Crazy Bao, NO 53 SUBBAYANAPALYA 60 FEET ROAD LINGARAJAPURAM BANGALORE","Kammanahalli/Kalyan Nagar,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Cup O Cafe,"CUP O CAFE, 5TH AVENUE MALL, GROUND FLOOR, BANGALORE , Shanthinagara , B.B.M.P East, Karnataka-560001","Shantinagar,Bangalore",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
Sasuji,"Sasuji, Near Lal Bunglow, C G Road, Ahmedabad","Navrangpura,Ahmedabad",restaurant,4.3,Very good food and good service. Would recommend.,49,8
Pizza Madness,"PIZZA MADNESS, 45 GROUND FLOOR, #1 EJIPURA MAIN ROAD , VIVEKNAGAR POST , BANGALORE 560047","Koramangala,Bangalore",restaurant,2.4,Not great — food lacked taste and portions were small.,54,10
Pizza Roll,"Pizza roll, No. 37, 19th A Cross, Tigalarapalya Main Road, Raghavendra Industrial Estate Balajinagara, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Bengaluru, Karnataka 560058, India","Basaveshwaranagar,Bangalore",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Good Times Restaurant,"Good Times Restaurant, 19&20, DEV BHUMI APPARTMENT, NR. ARCHITA FLAT, NAVRANGPURA, AHMEDABAD-380009","Navrangpura,Ahmedabad",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Nu.Tree,"Nu.Tree, First Floor, 46, Siddapura Rd, Nallurhalli, Whitefield, Bengaluru, Karnataka 560066","Whitefield,Bangalore",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
Mise En Place Cafe,"Mise En Place Cafe, 2nd floor, 1020, 80 Feet Rd, above BandBox Dry cleaners, Nirguna Mandir Layout, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034, India","Koramangala,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Khichdi Kahani,"Khichdi Kahani, No 4 First Floor Venkataswamy Reddy Building KSSIDC Road Shantipura Electronic City Phase-2, Bangalore Urban, Karnataka-560100","Electronic City,Bangalore",restaurant,4.6,"Perfect meal, delicious and served quickly. Loved it!",53,8
Sri Chamundeswari Nellore Kitchen,"SRI CHAMUNDESWARI NELLORE KITCHEN, 85/1, Sgr College Rd, Belandur, Marathahalli, Bengaluru, Karnataka 560087, India","Kadubeesanahalli,Bangalore",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
Aishwarya Hindu Military Hotel,"AISHWARYA HINDU MILITARY HOTEL, NO 18/1. SRI SAI LAYOUT REVA CIRCLE, KATTIGENAHALLI, WARD NO 5, JALA HOBLI, BANGALORE Yelahanka.B.B.M.P North, Karnataka-560064","Yelahanka,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Gyaani Da Punjabi Dhaba,"Gyaani Da Punjabi Dhaba, Shop No. 16, 20th Main, 100 Feet Road, 1st Phase, Stage 2, BTM Layout, Bengaluru, Karnataka 560076","BTM,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Sri Ruchi Veg,"Sri Ruchi Veg, No.36 R.T street, Balepete Main Rd, near Jain temple, Balepete, Chickpet, Bengaluru, Karnataka 560053, India","Majestic,Bangalore",restaurant,4.0,Very good food and good service. Would recommend.,49,8
Yum Yum Kolkata,"YUM YUM KOLKATA, 4062, 19th A Main, HAL 2nd Stage, Indiranagar-560008","Indiranagar,Bangalore",restaurant,4.2,Nice place with tasty food. Slight issues with timing.,54,9
Spicy Land Restaurant & Fast Food,"Spicy Land Restaurant & Fast Food, GF, NO. 45, CKB LAYOUT, MUNNEKOLALA, MARTHAHALLI, BANGALORE , Mahadevapura , B.B.M.P East, Karnataka - 560037","Kadubeesanahalli,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Oregano,"Oregano, PRAJJITHS CAFE PVT LTD NO, 17, GROUND FLOOR TOWER B HULIMANGALA VILLAGE JIGANI HOBLI ANEKAL TALUK BANGALORE 560099, Bangalore Urban (Karnataka)","Electronic City,Bangalore",restaurant,4.0,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Party Hut,"Party Hut, Battarahalli, Bengaluru, Karnataka 560049, India","Battarahalli,Bangalore",restaurant,3.5,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Ultimate Parathas,"Ultimate Parathas, #5, 6th cross, 1st Main, Bannerghatta Main Rd, NS Palya, Stage 2, Bengaluru, Karnataka 560076","BTM,Bangalore",restaurant,4.3,Good experience overall. Worth a repeat visit.,46,7
Indian Burrito Company,"Indian Burrito Company, Kitchens@ 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore - 560078","Arekere,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Bao To Me,"Bao to me, 150/9, Shop #3, 1st floor, 1st B Main Road, Koramangala 8th Block, Bengaluru - 560095","Koramangala,Bangalore",restaurant,4.8,Absolutely loved it — excellent taste and friendly staff.,57,9
New A1 Bombay Bhatiyara,"New A1 Bombay Bhatiyara, SHOP NO 5,KOHINOOR COMPLEX,NR TORRENT POWER,OPP GAJALI FLAT,NR DIAMOND FLAT,SHAHPUR,AHMEDABAD-380001","Maninagar,Ahmedabad",restaurant,5.0,Absolutely loved it — excellent taste and friendly staff.,57,9
Zwarma - Akshayanagara,"Zwarma - Akshayanagara, #11, near, Yelenahalli Main Rd, Akshayanagara West, DLF Newtown, Akshayanagar, Bengaluru, Karnataka 560076, India","Arekere,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Flavours By Itc Hotels,"Flavours by ITC Hotels, 1, RESIDENCY ROAD , ASHOK NAGAR,BENGALURU , KARNATAKA , 560025","Central Bangalore,Bangalore",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
Goli Vada Pav No .1,"Goli Vada Pav No .1, #9, 12th Cross Road, 2nd Maid, Pai Layout, Bennigana Halli, Bengaluru, Karnataka 560016","Mahadevpura,Bangalore",restaurant,3.8,Enjoyed the meal — service could be a bit faster.,49,10
Shivani Food Court,"Shivani Food Court, 7 RUDARAX  COMPLEX NEAR BANK OF BARODA CHANDKHEDA AHMEDABAD","Chandkheda,Ahmedabad",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
House Of Mughals,"House of Mughals, 2nd & 3rd floor, Municipal No: #193, M H Chandrappa, near Gowri Apartments, New Bel Road, Mathikere, Bengaluru -560054","Sanjay Nagar, New BEL Road,Bangalore",restaurant,5.0,"Fantastic experience, will visit again. Great ambience too.",59,8
New Bera Samosa Center,"New Bera Samosa Center, mansuri mansion,near st xaviers high school ghee kanta court road mirzapur ahmedabad,380001","Maninagar,Ahmedabad",restaurant,4.0,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Bangalore Sandwich,"Bangalore Sandwich, Near, 107, Infosys Drive, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India","Electronic City,Bangalore",restaurant,3.0,It was fine; price felt slightly high for the portion.,54,10
Kouzina Kafe - The Food Court,"Kouzina Kafe - The Food Court, Shop.no - 12 & 13, 2nd Floor, Arya Hub Mall, Hope Farm Signal , Prashanth Extension , Whitefield Main Road. Bengaluru - 560066","Whitefield,Bangalore",restaurant,2.0,Not great — food lacked taste and portions were small.,54,10
Kem Cho Thepla And Khakhra,"Kem cho Thepla and Khakhra, Room Number 11, Third floor, 138, Vrukshya Nilya,Green House Layout, Doddathougur, Electronic City phase 1, Bangalore, Doddathoguru, Bangalore South, Bangalore Urban, Karnataka - 560100","Electronic City,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Itminaan Biryani - Dum Pukht,"Itminaan Biryani - Dum Pukht, NO.36, MANJUNATHA LAYOUT, NAGAWARA,SHIVARAM KARANTH NAGAR, THANISANDRA MAIN ROAD, BANGALORE Yelahanka B.B.M.P North Karnataka 560077","Nagavara & Hennur,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Tasty Elements,"Tasty Elements, NO 3, NARAYANAPURA CROSS, NEAR SHABRI NAGAR GATE RIGHT SIDE, R K HEGDE NAGAR, DR SHIVARAMA KARANTH NAGAR , K R Puram, B.B.M.P East, Karnataka-560077","Geddalahalli,Bangalore",restaurant,4.0,Good experience overall. Worth a repeat visit.,46,7
Belgian Waffle Factory,"Belgian Waffle Factory, No 2, Survey No 2/4, Devasandra Village, New BEL Road, Bangalore - 560094","Sanjay Nagar, New BEL Road,Bangalore",restaurant,4.0,Very good food and good service. Would recommend.,49,8
Alinea Restaurant & Banquet,"Alinea Restaurant & Banquet, 3rd eye II, Opp. parimal garden,Shop No 6, Panchvati cross road, Ahmedabad, 380006","Navrangpura,Ahmedabad",restaurant,4.1,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Annapoorneshwari Andra Mess,"ANNAPOORNESHWARI ANDRA MESS, NO 74 NEAR KBC COLLEGE THIRUMALA GARDEN KODIPALYA, KENGERI, BENGALURU , R R NAGARA, B.B.M.P WEST KARNATAKA-560056","Rajarajeshwari Nagar,Bangalore",restaurant,1.0,Worst experience. Would not recommend to anyone.,48,7
Lit Biryani Kitchen,"Lit Biryani Kitchen, 29, Church St, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India","Central Bangalore,Bangalore",restaurant,2.0,"Below expectations, probably won't return soon.",47,6
Gokul Gujarati Thali,"Gokul Gujarati Thali, shop no 11 narnarayan complex navragpura ahmedabad","Navrangpura,Ahmedabad",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Honey Special Cake,"Honey special cake, 202, Mysore Rd, Kengeri Satellite Town, Kambipura, Bengaluru, Karnataka 560060, India","Rajarajeshwari Nagar,Bangalore",restaurant,3.0,Decent place but nothing special. Could improve.,48,7
Bharjari Badoota,"Bharjari badoota, 25/1, 19th A Main Road, Marenahalli, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India","JP Nagar,Bangalore",restaurant,3.2,Quality is inconsistent — had better visits before.,51,8
Garma Garam,"Garma Garam, Arekere, MICO Layout Main Road, Opp Vijaya Bank, Bannerghatta Road, Bangalore - 560076","Arekere,Bangalore",restaurant,4.0,Nice place with tasty food. Slight issues with timing.,54,9
Based On A True Story -Bistro,"Based On A True Story -Bistro, BASED ON A TRUE STORY - BISTRO, HRBR Layout 3rd Block, HRBR Layout, HBR Layout, Bengaluru, Karnataka, India","Kammanahalli/Kalyan Nagar,Bangalore",restaurant,4.2,Nice place with tasty food. Slight issues with timing.,54,9
Setty'S Bangarpete Chats,"Setty's Bangarpete Chats, No 06, near BDA Shopping Complex, next to Jockey showroom, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070, India","Banashankari,Bangalore",restaurant,3.0,"Food was okay, average experience.",34,5
Baker'S Talent,"Baker's Talent, Chidu Enterprises, 6th Main Road, Gaurav Nagar, Phase 7, J. P. Nagar, Kothnur, Karnataka, India","Arekere,Bangalore",restaurant,3.5,Very good food and good service. Would recommend.,49,8
The Pizza Club,"THE PIZZA CLUB, GROUND FLOOR OPP SALAPURIA ASCENT  JYOTHI NIWAS COLLEGE ROAD KORAMANGALA 5TH BLOCK BTM LAYOUT BANGALORE 560095","BTM,Bangalore",restaurant,3.0,Quality is inconsistent — had better visits before.,51,8
Kabab Palace,"Kabab Palace, # 406 dr raj kumar road  6th block rajaji nagar  Bengaluru  Pin 560010","Majestic,Bangalore",restaurant,4.3,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Potato Pirate,"Potato Pirate, SHOP NO.6, 2ND MAIN ROAD, OPPOSITE  TO SAMBHRAM COLLEGE, MUNISWAMPPA  LAYOUT, BANGALORE, Yelahanka , B.B.M.P  North, Karnataka - 560097","Yelahanka,Bangalore",restaurant,1.0,Horrible service and unclean environment.,41,5
Sri Venkateshwara Hot Chips,"Sri Venkateshwara Hot Chips, Kothnur Main Rd, Ramaiah Garden, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka, India","JP Nagar,Bangalore",restaurant,1.0,Very bad food and rude staff. Avoid this place.,47,9
Barbeque National,"BARBEQUE NATIONAL, NO 103/77 SRINIVASA REDDY BUILDING,NEAR INFOSYS GATE NO 06 KONAPPANA,AGRAHARA ELECTRONIC CITY, Bangalore South, Bangalore","Electronic City,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Swathi Grand,"SWATHI GRAND, NO 36 ANDRAHALLI WARD NO 40 DODDABIDARAKALLU YESHWANTHPUR HOBLI BANGALORE 560091","Basaveshwaranagar,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Tuli'S Restaurant,"Tuli's Restaurant, shop no.A- G/f 37,Paramukh arcade ,near Rajdhani Society, Village- Kudasan ,Taluka Gandhi Nagar (Gujrat) 382421","Gandhinagar,Ahmedabad",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Akshaya Deluxe,"Akshaya Deluxe, #21, New BEL Road, Opp indian bank , bangalore 54","Sanjay Nagar, New BEL Road,Bangalore",restaurant,4.1,Good experience overall. Worth a repeat visit.,46,7
Inox,"INOX, INOX Leisure Ltd, R-21, 2nd  floor, Plot no 141, Sector-21 , Gandhinagar, Gujarat-382021","Gandhinagar,Ahmedabad",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Flyiing Apron,"FLYIING APRON, No. 1, Vinayaka Layout Bettadasanapura road near godrej City Doddathoguru, Electronic City, Bangalore Karnataka 560100","Electronic City,Bangalore",restaurant,2.0,"Below expectations, probably won't return soon.",47,6
Vittlebox,"Vittlebox, GF11 Sarovar Complex Near Samudra Complex Vasant Vihar Society OFF C G Road, Navrangpura, Ahmedabad","Navrangpura,Ahmedabad",restaurant,4.1,Good experience overall. Worth a repeat visit.,46,7
Soy - Asian Kitchen,"SOY - Asian Kitchen, NO.816, 20TH MAIN 8TH BLOCK  KORAMANGALA, BANGALORE-560095","Koramangala,Bangalore",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Hokart - Kolkata Sweets,"Hokart - Kolkata Sweets, Pattandur Agrahara, Whitefield, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India","Whitefield,Bangalore",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Punjabi Paratha Plaza,"Punjabi Paratha Plaza, No 60 CHS 707 4th phase Yelahanka New Town Bangalore 560064, Yelahanka , B.B.M.P North, Karnataka - 560064","Yelahanka,Bangalore",restaurant,2.0,Bad experience; staff seemed rushed and inattentive.,52,7
Nammura Donne Biriyani,"Nammura Donne Biriyani, 320 8, Outer Ring Rd, Old Madiwala, Jay Bheema Nagar, 1st Stage, BTM Layout 1, Bengaluru, Karnataka 560068","BTM,Bangalore",restaurant,2.0,"Below expectations, probably won't return soon.",47,6
Puffizza,"Puffizza, 103, Kairos, Opposite Mahatma Gandhi Labour Institute, Drive In Road, Gurukul, Ahmedabad","Vastrapur,Ahmedabad",restaurant,4.1,Good experience overall. Worth a repeat visit.,46,7
Mahadev Food Corner,"Mahadev Food Corner, GST Road, Ambicakrupa Society, Ranip, Ahmedabad, Gujarat, India","GOTA,Ahmedabad",restaurant,1.0,Very bad food and rude staff. Avoid this place.,47,9
The Jungle Joy Restaurant,"The Jungle Joy Restaurant, PLOT NO-B/16-B/17, DISTRICT SHOPPING CENTER, SECTOR-21,GANDHINAGAR,, Ahmedabad, - 382021","Gandhinagar,Ahmedabad",restaurant,3.0,"Neutral feelings. Some dishes were good, some not.",50,8
Shams Fast Foods,"SHAMS FAST FOODS, 2H Cross, Kammanahalli Main Rd, Ramaiah Layout, Kammanahalli, Bengaluru, Karnataka 560043, India","Kammanahalli/Kalyan Nagar,Bangalore",restaurant,3.8,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Vanilla Multi-Cuisines,"Vanilla Multi-Cuisines, Shree vinus siddhi Resorts Pvt Ltd,At.Nabhoi, Gandhinagar, 382007","Gandhinagar,Ahmedabad",restaurant,3.0,It was fine; price felt slightly high for the portion.,54,10
A One Pani Puri,"A One Pani Puri, Opp Dev Residency Near Panchslok Home Tragad Chandkheda Road Tragad","GOTA,Ahmedabad",restaurant,5.0,"Perfect meal, delicious and served quickly. Loved it!",53,8
Brownie Points - Gourmet Brownies,"Brownie Points - Gourmet Brownies, 6F01, Palm Springs , 7C Cross, 16 Main , Koramangala 4B Block","Koramangala,Bangalore",restaurant,4.5,Nice place with tasty food. Slight issues with timing.,54,9
Hatti Kaapi - Coffee And More,"Hatti Kaapi - Coffee and more, Koramangala, 1st 'A' Cross Road, Near Jyothi Nivas College, KHB Colony, 5th Block, Kormangala, Bangalore - 560 034","Koramangala,Bangalore",restaurant,4.1,Good experience overall. Worth a repeat visit.,46,7
Ragoos Express,"Ragoos Express, Magan Silver Hill Apartment, 1st Main Rd, Sneha Colony, Chikkalasandra, Bengaluru, Karnataka 560061, India","Kumaraswamy Layout & Uttarahalli,Bangalore",restaurant,3.0,It was fine; price felt slightly high for the portion.,54,10
Peetuk,"PEETUK, SHOP NO 1 & 2, GROUND FLOOR NO 10/2. J P NAGAR 6th PHASE. BANGALORE BBMP SOUTH .KARNATAKA-560078","Kumaraswamy Layout & Uttarahalli,Bangalore",restaurant,4.0,Nice place with tasty food. Slight issues with timing.,54,9
Yureka,"YUREKA, NO.14, GROUND FLOOR, 7TH B CROSS, 20TH MAIN, NEAR MASJID, Jay Bheema Nagar, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068, India","BTM,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Cool City,"COOL CITY, #13 subedarpalya 2nd cross MS RAMAIAH main road Malleswaram ward Yeshwanthpur Bangalore 560022","Yeshwanthpur,Bangalore",restaurant,2.4,"Below expectations, probably won't return soon.",47,6
Fusion Biryani,"Fusion Biryani, No 70/2, 1st Floor, 6th Main, 9th Cross, Pillappa Block, Ganganagar, B.B.M.P North, Karnataka 560032","Sanjay Nagar, New BEL Road,Bangalore",restaurant,3.0,Decent place but nothing special. Could improve.,48,7
Open House Cafe,"OPEN HOUSE CAFE, NO 65/A/21/3658/225/2/5, KRISHNA  REDDY LAYOUT, HBR LAYOUT,  BANGALORE , Hebbala , B.B.M.P North,  Karnataka-560043","Nagavara & Hennur,Bangalore",restaurant,4.0,Nice place with tasty food. Slight issues with timing.,54,9
Raithula Ruchi,"Raithula Ruchi, Raithula Ruchi Opp jagruthi forums next RMV bar Near Billa Vista ladies PG Ramagondanahalli, Whitefield, Bengaluru, Karnataka 560066","Whitefield,Bangalore",restaurant,3.7,Very good food and good service. Would recommend.,49,8
Swaad Ki Dolchi,"Swaad Ki Dolchi, #34, AVMR Complex, Ground Floor, Attur Main Road, 4th Main, Opposite Attur Layout Bus Stop, Yelahanka New Town, Bengaluru, 560064","Yelahanka,Bangalore",restaurant,3.6,Tasty dishes and pleasant ambience. Minor delays though.,56,8
The Biryani Legend,"THE BIRYANI LEGEND, FS 7 ALPHAONE MALL NEAR VASTRAPUR LAKE VASTRAPUR AHMEDABAD","Vastrapur,Ahmedabad",restaurant,2.0,Bad experience; staff seemed rushed and inattentive.,52,7
Inox,"INOX, INOX Leisure Limited, 2nd Floor, SBR Horizon , Seegehalli, Whitefield - Hoskote Road, Bangalore 560067","Kadugodi,Bangalore",restaurant,2.0,Service was unhelpful and waited too long.,42,7
Pure Veg Meals By Lunchbox,"Pure Veg Meals by Lunchbox, G.F. 01, ANIMESH COMPLEX, PANCHVATI ELLIS BRIDGE, NEAR CHANDRA COLONY, AHMEDABAD, GUJARAT","Navrangpura,Ahmedabad",restaurant,2.0,Bad experience; staff seemed rushed and inattentive.,52,7
Curries,"Curries, FF-2,3  RudraPath complex  Near Rajpath Club  S G Highway  Bodakdev  Ahmedabad","Vastrapur,Ahmedabad",restaurant,4.1,Enjoyed the meal — service could be a bit faster.,49,10
Moon Star,"MOON STAR, 3, A-1 Block, Abbaappa Layout, Stage 2, BTM Layout, Bengaluru, Karnataka 560076, India","BTM,Bangalore",restaurant,2.0,Service was unhelpful and waited too long.,42,7
Curry Xpress,"CURRY XPRESS, NO 103/77 SRINIVASA REDDY BUILDING  NEAR INFOSYS GATE NO 06 KONAPPANA  AGRAHARA ELECTRONIC CITY , Konappana  Agrahara , Bangalore South, Bangalore  Urban, Karnataka-560100","Electronic City,Bangalore",restaurant,2.0,Disappointed with the food quality and slow service.,52,8
Shawarma Time,"Shawarma Time, 60, Muniswamappa Road, JC Nagar, Banglore, Shivajinagara, B.B.M.P. East, Karnataka-560006","Frazer Town,Bangalore",restaurant,5.0,Amazing food and great service! Highly recommended.,51,7
Toro Toro,"Toro Toro, Aurobindo Society Rd, Vastrapur, Ahmedabad, Gujarat, India","Vastrapur,Ahmedabad",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Cake Jsk Live Cake,"Cake Jsk Live Cake, C/14, HIRA-ANAND COMPLEX, GORADHANWADI CHAR RASTA, KANKARIYA ROD, MANINAGAR, ManiNagar(South Zone), Ahmedabad Municipal Corporation, Ahmedabad, Gujarat - 380008","Maninagar,Ahmedabad",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
Ambi Naati Style,"AMBI NAATI STYLE, 54, Dwaraka Nagar, Hosakerehalli, Bengaluru, Karnataka 560085, India","Banashankari,Bangalore",restaurant,5.0,Absolutely loved it — excellent taste and friendly staff.,57,9
Mirch Masala,"Mirch Masala, MIRCH MASALA FF 104 SUPERMALL -2, Gandhinagar, Gandhinagar Municipal Corporation, Gujarat-382007","Gandhinagar,Ahmedabad",restaurant,4.5,Very good food and good service. Would recommend.,49,8
Hungry Bird,"Hungry bird, No 17/18, ground floor, 4th link main, 4th cross, maruthi nagar, madiwala, bengaluru - 560068","BTM,Bangalore",restaurant,3.7,Very good food and good service. Would recommend.,49,8
Swiss Cream - Ice Creams And More,"Swiss Cream - Ice Creams and More, No 38/B1, Ground floor, Kunnaj Arcade Aravind avenue, L N Pura, AECS Layout, Bangalore, Karnataka 560037","Marathahalli,Bangalore",restaurant,3.9,Enjoyed the meal — service could be a bit faster.,49,10
Bo & Jan - Deliciously Desi,"Bo & Jan - Deliciously Desi, 43, Krishnanagar Industrial Area, Koramangala, Bengaluru-29 , BTM Layout , B.B.M.P South, Karnataka-560034","BTM,Bangalore",restaurant,3.6,Good experience overall. Worth a repeat visit.,46,7
Eat24Empire,"Eat24empire, 5, BJ Temple Rd, RMV 2nd Stage, Ashwath Nagar, Armane Nagar, Bengaluru, Karnataka 560094, India","Sanjay Nagar, New BEL Road,Bangalore",restaurant,4.0,Tasty dishes and pleasant ambience. Minor delays though.,56,8
Paradise House,"PARADISE HOUSE, NO 55/1 SHIRIDI SAI LAYOUT NEAR SAI  BABA TEMPLE ROAD MUNEKOLALU  MARATHALLI , Mahadevapura , B.B.M.P  East, Karnataka-560037","Kadubeesanahalli,Bangalore",restaurant,1.0,Horrible service and unclean environment.,41,5
Bakers Street,"Bakers Street, 15, khb colony, Gandhi nagar, yelahanka, Bangalore 560064","Yelahanka,Bangalore",restaurant,4.0,Enjoyed the meal — service could be a bit faster.,49,10
Jaisri Bojanalayaa,"Jaisri bojanalayaa, No22, 1st cross, Nelagadranahalli, (nagsandra post),, Near hmtlayout park end, Bangalore 560073","Yeshwanthpur,Bangalore",restaurant,5.0,Top-notch food and service. Best place in town.,47,8
New Egg World,"New Egg World, Shop 22, Gandhinagar Bypass Road, Cross Road, Sargasan, Infocity, Gandhinagar","Gandhinagar,Ahmedabad",restaurant,3.0,It was fine; price felt slightly high for the portion.,54,10
Zomoz - The Momo Company,"Zomoz - The Momo Company, No. 161, 161-A, 166, First Floor, Vinayaka Nagar, Arekere Main Road, Bannerghatta Road, Bangalore - 560076.","Arekere,Bangalore",restaurant,4.3,Very good food and good service. Would recommend.,49,8
